file_off	va	section	xref	len	text
0xd1a20	0x4d3620	.data	1	6	%s: %d
0xd1cec	0x4d38ec	.data	1	6	%d.mus
0xd1d90	0x4d3990	.data	1	24	C:\Pacgen\Src\quickmnu.c
0xd1dac	0x4d39ac	.data	1	24	C:\Pacgen\Src\quickmnu.c
0xd1dc8	0x4d39c8	.data	1	24	C:\Pacgen\Src\quickmnu.c
0xd1de4	0x4d39e4	.data	1	24	C:\Pacgen\Src\quickmnu.c
0xd1e04	0x4d3a04	.data	1	14	%sDATA\EXT.IDX
0xd1e14	0x4d3a14	.data	1	16	%c:\DATA\EXT.IDX
0xd1e28	0x4d3a28	.data	1	18	%sDATA\PFPDATA.IDX
0xd1e3c	0x4d3a3c	.data	1	20	%c:\DATA\PFPDATA.IDX
0xd1e54	0x4d3a54	.data	1	13	%sDATA\%s.PFP
0xd1e64	0x4d3a64	.data	1	15	%c:\DATA\%s.PFP
0xd1e74	0x4d3a74	.data	1	22	C:\Pacgen\src\pfpsys.c
0xd1f08	0x4d3b08	.data	1	22	C:\Pacgen\src\pfpsys.c
0xd1f20	0x4d3b20	.data	1	10	Lay  Tiles
0xd1f3e	0x4d3b3e	.data	0	10	Edit Tiles
0xd1f5c	0x4d3b5c	.data	0	9	Mass Edit
0xd1f7a	0x4d3b7a	.data	0	14	Lay Geo Coords
0xd1f98	0x4d3b98	.data	0	8	ID Tiles
0xd1fb6	0x4d3bb6	.data	0	5	error
0xd1fd8	0x4d3bd8	.data	2	4	Axis
0xd1fec	0x4d3bec	.data	0	6	Allies
0xd2000	0x4d3c00	.data	0	7	Neutral
0xd2014	0x4d3c14	.data	0	12	True Neutral
0xd2028	0x4d3c28	.data	0	10	3rd Player
0xd20b0	0x4d3cb0	.data	1	23	C:\Pacgen\src\mapedit.c
0xd20c8	0x4d3cc8	.data	1	23	C:\Pacgen\src\mapedit.c
0xd20e0	0x4d3ce0	.data	1	23	C:\Pacgen\src\mapedit.c
0xd20f8	0x4d3cf8	.data	1	23	C:\Pacgen\src\mapedit.c
0xd2110	0x4d3d10	.data	1	13	t_%s_%c%c.til
0xd2120	0x4d3d20	.data	1	23	C:\Pacgen\src\mapedit.c
0xd2160	0x4d3d60	.data	1	13	s_%s_%c%c.til
0xd2170	0x4d3d70	.data	1	23	C:\Pacgen\src\mapedit.c
0xd21d8	0x4d3dd8	.data	1	23	C:\Pacgen\src\mapedit.c
0xd21f0	0x4d3df0	.data	1	36	Unable to allocate memory for a map.
0xd2218	0x4d3e18	.data	1	6	%s.TNM
0xd2220	0x4d3e20	.data	1	23	C:\Pacgen\src\mapedit.c
0xd22a0	0x4d3ea0	.data	1	23	C:\Pacgen\src\mapedit.c
0xd22ec	0x4d3eec	.data	1	34	Can't lay tiles while IDing tiles.
0xd2310	0x4d3f10	.data	1	24	Error: Unknown map mode.
0xd232c	0x4d3f2c	.data	1	116	                                                                                                                    
0xd23a4	0x4d3fa4	.data	1	23	Game Map (%02d, %02d), 
0xd23bc	0x4d3fbc	.data	1	14	Scen Name %d, 
0xd23cc	0x4d3fcc	.data	1	4	%s, 
0xd23d4	0x4d3fd4	.data	1	21	terrain id error:%d, 
0xd23ec	0x4d3fec	.data	1	34	%s(Using alternate text for %s),  
0xd2410	0x4d4010	.data	1	10	Error %d, 
0xd241c	0x4d401c	.data	1	10	Nation:%s.
0xd2428	0x4d4028	.data	1	10	No Nation.
0xd2434	0x4d4034	.data	1	29	Nation has a problem:Value:%d
0xd2454	0x4d4054	.data	1	24	Off of map---Crash City!
0xd2470	0x4d4070	.data	1	65	                                                                 
0xd24b4	0x4d40b4	.data	1	75	%s (%02d, %02d=%d)   %s    nation:%d                                       
0xd2500	0x4d4100	.data	1	59	                                                           
0xd2544	0x4d4144	.data	1	10	No Strings
0xd258e	0x4d418e	.data	0	17	Kill the strings?
0xd25a4	0x4d41a4	.data	1	11	lastmap.dat
