file_off	va	section	xref	len	text
0xc81a0	0x4c91a0	.rdata	1	4	Free
0xc87e0	0x4c97e0	.rdata	1	6	{%ld} 
0xc87e8	0x4c97e8	.rdata	1	10	%hs(%d) : 
0xc87f4	0x4c97f4	.rdata	1	19	#File Error#(%d) : 
0xc882c	0x4c982c	.rdata	1	5	%.2X 
0xc8a38	0x4c9a38	.rdata	1	6	(null)
0xc8adc	0x4c9adc	.rdata	1	11	%s(%d) : %s
0xc8b90	0x4c9b90	.rdata	1	34	Microsoft Visual C++ Debug Library
0xc8cb4	0x4c9cb4	.rdata	2	22	<program name unknown>
0xc8d3c	0x4c9d3c	.rdata	1	22	flag == 0 || flag == 1
0xc9098	0x4ca098	.rdata	1	36	Microsoft Visual C++ Runtime Library
0xc9140	0x4ca140	.rdata	1	4	.com
0xc9150	0x4ca150	.rdata	1	4	.bat
0xc9158	0x4ca158	.rdata	1	4	.cmd
0xc922c	0x4ca22c	.rdata	1	9	size >= 0
0xc9244	0x4ca244	.rdata	1	60	cchCount1==0 && cchCount2==1 || cchCount1==1 && cchCount2==0
0xc998c	0x4cb58c	.data	1	7	%s (%s)
0xc9994	0x4cb594	.data	1	7	%s (%s)
0xc999c	0x4cb59c	.data	1	7	%s (%s)
0xc9cf4	0x4cb8f4	.data	1	5	*.map
0xc9de4	0x4cb9e4	.data	1	4	19%d
0xc9ed4	0x4cbad4	.data	1	30	Days left of starting weather.
0xc9f0c	0x4cbb0c	.data	1	8	*BD%d/%d
0xc9f18	0x4cbb18	.data	1	21	Enter new bonus MONTH
0xc9f30	0x4cbb30	.data	1	20	Enter new bonus YEAR
0xca224	0x4cbe24	.data	1	4	v1.1
0xca2cc	0x4cbecc	.data	1	5	*.sv?
0xca2f4	0x4cbef4	.data	1	32	No sea trans found for player:%d
0xca318	0x4cbf18	.data	1	32	No air trans found for player:%d
0xca40c	0x4cc00c	.data	1	4	%s%d
0xca414	0x4cc014	.data	1	4	%s%d
0xca41c	0x4cc01c	.data	1	4	%s, 
0xca42c	0x4cc02c	.data	1	7	(%d,%d)
0xca44c	0x4cc04c	.data	1	5	%s %d
0xca484	0x4cc084	.data	1	5	%-10s
0xca490	0x4cc090	.data	1	6	%s %d 
0xca498	0x4cc098	.data	1	5	%s %d
0xca4a0	0x4cc0a0	.data	1	5	%s %d
0xca4a8	0x4cc0a8	.data	1	5	%-10s
0xca758	0x4cc358	.data	1	5	%c%c\
0xca760	0x4cc360	.data	1	4	%s%s
0xca9e0	0x4cc5e0	.data	1	8	main.pal
0xca9ec	0x4cc5ec	.data	1	9	menu2.pal
0xcac74	0x4cc874	.data	1	15	Pacific General
0xcb2ec	0x4cceec	.data	1	4	ALT-
0xcb2f4	0x4ccef4	.data	1	4	CTL-
0xcc5c0	0x4ce1c0	.data	1	19	%sDATA\pacequip.eqp
0xcc5d4	0x4ce1d4	.data	1	21	%c:\DATA\pacequip.eqp
0xcc66c	0x4ce26c	.data	1	6	%s.TXT
0xcc720	0x4ce320	.data	1	6	%s.TXT
0xcca08	0x4ce608	.data	1	4	%c:\
0xcca34	0x4ce634	.data	1	6	%c:\%s
0xcca74	0x4ce674	.data	1	6	%c:\%s
