檔案	估計dense2byte大小(bytes)	上限(bytes)	狀態
GUI97.TXT	4395	65536	OK
EQUIP97.TXT	6562	65536	OK
NAMES.TXT	3021	32768	OK
MISC.TXT	172	32768	OK
SCENARIO/4PLAYER.TXT	156	32768	OK
SCENARIO/ANTISAL.TXT	847	32768	OK
SCENARIO/ARRACT.TXT	661	32768	OK
SCENARIO/ARRACTUK.TXT	661	32768	OK
SCENARIO/CAENUK.TXT	1024	32768	OK
SCENARIO/CAENUS.TXT	1020	32768	OK
SCENARIO/CAULDRON.TXT	249	32768	OK
SCENARIO/CIECHAN.TXT	429	32768	OK
SCENARIO/DESSAU.TXT	595	32768	OK
SCENARIO/DESSAUUK.TXT	577	32768	OK
SCENARIO/FINF.TXT	214	32768	OK
SCENARIO/FINF4.TXT	224	32768	OK
SCENARIO/GCAEN.TXT	733	32768	OK
SCENARIO/GIBRALT.TXT	301	32768	OK
SCENARIO/KANEV.TXT	1084	32768	OK
SCENARIO/KISHINEV.TXT	1077	32768	OK
SCENARIO/KLIN.TXT	569	32768	OK
SCENARIO/KONRAD.TXT	1144	32768	OK
SCENARIO/LENIN.TXT	839	32768	OK
SCENARIO/LILLEHAM.TXT	287	32768	OK
SCENARIO/MADRID.TXT	449	32768	OK
SCENARIO/MALTA.TXT	727	32768	OK
SCENARIO/METZ.TXT	679	32768	OK
SCENARIO/METZUK.TXT	665	32768	OK
SCENARIO/MULTIBEA.TXT	672	32768	OK
SCENARIO/MULTIRED.TXT	334	32768	OK
SCENARIO/NORDWIND.TXT	1360	32768	OK
SCENARIO/NOVGOROD.TXT	743	32768	OK
SCENARIO/OAKRIDGE.TXT	546	32768	OK
SCENARIO/PROK1.TXT	1621	32768	OK
SCENARIO/PROK2.TXT	600	32768	OK
SCENARIO/PTT.TXT	344	32768	OK
SCENARIO/RED.TXT	315	32768	OK
SCENARIO/RTD.TXT	894	32768	OK
SCENARIO/SAL3.TXT	1027	32768	OK
SCENARIO/SALERNO1.TXT	785	32768	OK
SCENARIO/SALERNO2.TXT	842	32768	OK
SCENARIO/SATURN.TXT	742	32768	OK
SCENARIO/SAVANNAH.TXT	728	32768	OK
SCENARIO/SEDAN.TXT	776	32768	OK
SCENARIO/SEELOW.TXT	1127	32768	OK
SCENARIO/STLO.TXT	717	32768	OK
SCENARIO/STLO2.TXT	821	32768	OK
SCENARIO/STLOUK.TXT	701	32768	OK
SCENARIO/SUOMUSS.TXT	399	32768	OK
SCENARIO/THERMOPY.TXT	482	32768	OK
SCENARIO/TOBRUK.TXT	423	32768	OK
SCENARIO/TUTORIAL.TXT	338	32768	OK
SCENARIO/VIIPURI.TXT	617	32768	OK
SCENARIO/VOLOKOL.TXT	754	32768	OK
SCENARIO/WINDSOR.TXT	489	32768	OK
SCENARIO/WINDSOR1.TXT	512	32768	OK
SCENARIO/WINTER.TXT	754	32768	OK
